Name,Team,Position,Overall,Outside Scoring,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Athleticism,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Inside Scoring,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Playmaking,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Defending,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Rebounding,Offensive Rebound,Defensive Rebound,Intangibles,Potential,Total Attributes
Clint Capela,Atlanta Hawks,C,85,69.0721649484536,79.38144329896907,61.855670103092784,25.77319587628866,58.76288659793814,97.9381443298969,87.62886597938144,81.44329896907216,59.79381443298969,58.76288659793814,87.62886597938144,82.47422680412372,94.84536082474227,100.0,85.56701030927834,75.25773195876289,80.41237113402062,97.9381443298969,82.47422680412372,73.19587628865979,49.48453608247423,71.1340206185567,76.28865979381443,72.16494845360825,36.08247422680412,35.05154639175258,49.48453608247423,30.927835051546392,36.08247422680412,29.896907216494846,73.19587628865979,88.65979381443299,54.63917525773196,39.175257731958766,90.72164948453609,61.855670103092784,88.65979381443299,76.28865979381443,87.62886597938144,98.96907216494846,96.90721649484536,100.0,77.31958762886597,88.65979381443299,"2,634"
John Collins,Atlanta Hawks,C,84,90.625,97.91666666666667,93.75,84.375,86.45833333333333,83.33333333333333,98.95833333333333,84.375,73.95833333333333,67.70833333333333,78.125,88.54166666666667,95.83333333333333,100.0,87.5,86.45833333333333,85.41666666666667,98.95833333333333,96.875,80.20833333333333,78.125,86.45833333333333,75.0,88.54166666666667,51.041666666666664,38.541666666666664,62.5,52.083333333333336,68.75,34.375,59.375,77.08333333333333,51.041666666666664,37.5,72.91666666666667,59.375,77.08333333333333,39.583333333333336,62.5,71.875,62.5,80.20833333333333,67.70833333333333,88.54166666666667,"2,744"
Onyeka Okongwu,Atlanta Hawks,C,74,70.45454545454545,95.45454545454545,68.18181818181819,68.18181818181819,72.72727272727273,62.5,56.81818181818182,88.63636363636364,84.0909090909091,84.0909090909091,79.54545454545455,85.22727272727273,100.0,96.5909090909091,94.31818181818181,75.0,79.54545454545455,96.5909090909091,85.22727272727273,61.36363636363637,62.5,64.77272727272727,59.09090909090909,90.9090909090909,55.68181818181818,57.95454545454545,61.36363636363637,68.18181818181819,56.81818181818182,32.95454545454545,80.68181818181819,89.77272727272727,72.72727272727273,63.63636363636363,94.31818181818181,78.4090909090909,94.31818181818181,73.86363636363636,73.86363636363636,84.0909090909091,87.5,79.54545454545455,39.77272727272727,93.18181818181819,"2,522"
Gorgui Dieng,Atlanta Hawks,C,74,86.81318681318682,93.4065934065934,83.51648351648352,85.71428571428571,95.6043956043956,76.92307692307692,82.41758241758242,76.92307692307692,47.252747252747255,50.54945054945055,80.21978021978022,76.92307692307692,100.0,91.20879120879121,91.20879120879121,73.62637362637362,64.83516483516483,76.92307692307692,70.32967032967034,83.51648351648352,60.43956043956044,79.12087912087912,76.92307692307692,76.92307692307692,45.05494505494506,34.065934065934066,38.46153846153846,34.065934065934066,68.13186813186813,49.45054945054945,69.23076923076923,75.82417582417582,47.252747252747255,76.92307692307692,72.52747252747253,57.142857142857146,87.91208791208791,64.83516483516483,71.42857142857143,75.82417582417582,68.13186813186813,82.41758241758242,49.45054945054945,85.71428571428571,"2,464"
Robert Williams,Boston Celtics,C,80,69.79166666666667,96.875,71.875,26.041666666666668,65.625,78.125,78.125,80.20833333333333,73.95833333333333,64.58333333333333,86.45833333333333,78.125,83.33333333333333,88.54166666666667,84.375,69.79166666666667,82.29166666666667,93.75,78.125,62.5,52.083333333333336,67.70833333333333,45.833333333333336,78.125,48.958333333333336,38.541666666666664,50.0,39.583333333333336,57.291666666666664,57.291666666666664,72.91666666666667,79.16666666666667,41.666666666666664,65.625,100.0,66.66666666666667,86.45833333333333,81.25,62.5,92.70833333333333,94.79166666666667,90.625,52.083333333333336,82.29166666666667,"2,575"
Al Horford,Boston Celtics,C,80,84.21052631578948,95.78947368421052,81.05263157894737,85.26315789473684,82.10526315789474,73.6842105263158,84.21052631578948,77.89473684210526,55.78947368421053,50.526315789473685,95.78947368421052,72.63157894736842,100.0,89.47368421052632,82.10526315789474,76.84210526315789,68.42105263157895,78.94736842105263,68.42105263157895,80.0,88.42105263157895,87.36842105263158,52.63157894736842,88.42105263157895,66.3157894736842,83.15789473684211,52.63157894736842,34.73684210526316,88.42105263157895,73.6842105263158,74.73684210526316,86.3157894736842,71.57894736842105,45.26315789473684,71.57894736842105,70.52631578947368,89.47368421052632,73.6842105263158,89.47368421052632,63.1578947368421,45.26315789473684,81.05263157894737,42.10526315789474,83.15789473684211,"2,701"
Enes Kanter,Boston Celtics,C,77,81.63265306122449,86.73469387755102,78.57142857142857,56.12244897959184,79.59183673469387,100.0,86.73469387755102,71.42857142857143,63.265306122448976,25.510204081632654,84.6938775510204,61.224489795918366,87.75510204081633,96.93877551020408,83.6734693877551,80.61224489795919,80.61224489795919,86.73469387755102,61.224489795918366,84.6938775510204,84.6938775510204,84.6938775510204,75.51020408163265,86.73469387755102,44.89795918367347,40.816326530612244,51.02040816326531,33.673469387755105,65.3061224489796,33.673469387755105,39.795918367346935,53.06122448979592,26.53061224489796,36.734693877551024,64.28571428571429,28.571428571428573,39.795918367346935,45.91836734693877,25.510204081632654,94.89795918367346,94.89795918367346,94.89795918367346,51.02040816326531,80.61224489795919,"2,452"
Grant Williams,Boston Celtics,C,74,71.91011235955057,100.0,78.65168539325843,89.88764044943821,61.79775280898876,67.41573033707866,33.70786516853933,82.02247191011236,65.1685393258427,67.41573033707866,82.02247191011236,74.15730337078652,98.87640449438203,95.50561797752809,89.88764044943821,66.29213483146067,67.41573033707866,56.17977528089887,67.41573033707866,66.29213483146067,65.1685393258427,74.15730337078652,44.943820224719104,91.01123595505618,66.29213483146067,77.52808988764045,74.15730337078652,60.674157303370784,80.89887640449439,38.20224719101124,68.53932584269663,76.40449438202248,65.1685393258427,47.19101123595506,65.1685393258427,78.65168539325843,77.52808988764045,67.41573033707866,73.03370786516854,59.550561797752806,53.93258426966292,64.04494382022472,73.03370786516854,83.14606741573034,"2,397"
Bruno Fernando,Boston Celtics,C,71,63.95348837209303,61.627906976744185,75.5813953488372,48.83720930232558,63.95348837209303,75.5813953488372,58.13953488372093,93.02325581395348,86.04651162790698,86.04651162790698,98.83720930232558,87.20930232558139,98.83720930232558,98.83720930232558,93.02325581395348,80.23255813953489,87.20930232558139,93.02325581395348,90.69767441860465,74.4186046511628,73.25581395348837,75.5813953488372,58.13953488372093,87.20930232558139,58.13953488372093,60.46511627906977,58.13953488372093,58.13953488372093,75.5813953488372,36.04651162790697,61.627906976744185,74.4186046511628,51.16279069767442,41.86046511627907,59.30232558139535,69.76744186046511,75.5813953488372,72.09302325581395,46.51162790697674,87.20930232558139,74.4186046511628,100.0,29.069767441860463,86.04651162790698,"2,357"
LaMarcus Aldridge,Brooklyn Nets,C,79,88.42105263157895,87.36842105263158,94.73684210526316,83.15789473684211,88.42105263157895,100.0,73.6842105263158,71.57894736842105,45.26315789473684,48.421052631578945,91.57894736842105,65.26315789473684,78.94736842105263,84.21052631578948,84.21052631578948,82.10526315789474,73.6842105263158,73.6842105263158,72.63157894736842,91.57894736842105,93.6842105263158,91.57894736842105,65.26315789473684,96.84210526315789,51.578947368421055,57.89473684210526,44.21052631578947,40.0,73.6842105263158,44.21052631578947,65.26315789473684,77.89473684210526,50.526315789473685,36.8421052631579,75.78947368421052,54.73684210526316,81.05263157894737,73.6842105263158,68.42105263157895,55.78947368421053,42.10526315789474,69.47368421052632,31.57894736842105,91.57894736842105,"2,563"
