Name,Team,Position,Overall,Outside Scoring,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Athleticism,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Inside Scoring,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Playmaking,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Defending,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Rebounding,Offensive Rebound,Defensive Rebound,Intangibles,Potential,Total Attributes
John Collins,Atlanta Hawks,PF,84,90.625,97.91666666666667,93.75,84.375,86.45833333333333,83.33333333333333,98.95833333333333,84.375,73.95833333333333,67.70833333333333,78.125,88.54166666666667,95.83333333333333,100.0,87.5,86.45833333333333,85.41666666666667,98.95833333333333,96.875,80.20833333333333,78.125,86.45833333333333,75.0,88.54166666666667,51.041666666666664,38.541666666666664,62.5,52.083333333333336,68.75,34.375,59.375,77.08333333333333,51.041666666666664,37.5,72.91666666666667,59.375,77.08333333333333,39.583333333333336,62.5,71.875,62.5,80.20833333333333,67.70833333333333,88.54166666666667,"2,744"
De’Andre Hunter,Atlanta Hawks,PF,79,93.33333333333333,94.44444444444444,94.44444444444444,86.66666666666667,97.77777777777777,93.33333333333333,94.44444444444444,86.66666666666667,84.44444444444444,86.66666666666667,72.22222222222223,83.33333333333333,100.0,88.88888888888889,88.88888888888889,71.11111111111111,75.55555555555556,72.22222222222223,77.77777777777777,56.666666666666664,57.77777777777778,56.666666666666664,72.22222222222223,100.0,68.88888888888889,74.44444444444444,77.77777777777777,76.66666666666667,71.11111111111111,43.333333333333336,78.88888888888889,70.0,90.0,77.77777777777777,62.22222222222222,92.22222222222223,86.66666666666667,66.66666666666667,83.33333333333333,55.55555555555556,42.22222222222222,68.88888888888889,88.88888888888889,88.88888888888889,"2,696"
Danilo Gallinari,Atlanta Hawks,PF,79,84.0,84.0,79.0,84.0,93.0,80.0,85.0,70.0,60.0,60.0,66.0,66.0,85.0,80.0,75.0,71.0,76.0,45.0,75.0,66.0,72.0,74.0,80.0,76.0,62.0,72.0,76.0,60.0,65.0,37.0,59.0,69.0,56.0,40.0,42.0,68.0,70.0,62.0,65.0,51.0,33.0,68.0,100.0,79.0,"3,168"
Onyeka Okongwu,Atlanta Hawks,PF,74,70.45454545454545,95.45454545454545,68.18181818181819,68.18181818181819,72.72727272727273,62.5,56.81818181818182,88.63636363636364,84.0909090909091,84.0909090909091,79.54545454545455,85.22727272727273,100.0,96.5909090909091,94.31818181818181,75.0,79.54545454545455,96.5909090909091,85.22727272727273,61.36363636363637,62.5,64.77272727272727,59.09090909090909,90.9090909090909,55.68181818181818,57.95454545454545,61.36363636363637,68.18181818181819,56.81818181818182,32.95454545454545,80.68181818181819,89.77272727272727,72.72727272727273,63.63636363636363,94.31818181818181,78.4090909090909,94.31818181818181,73.86363636363636,73.86363636363636,84.0909090909091,87.5,79.54545454545455,39.77272727272727,93.18181818181819,"2,522"
Jalen Johnson,Atlanta Hawks,PF,73,80.0,87.05882352941177,87.05882352941177,81.17647058823529,74.11764705882354,82.3529411764706,64.70588235294117,91.76470588235294,89.41176470588235,89.41176470588235,80.0,96.47058823529412,100.0,94.11764705882354,94.11764705882354,82.3529411764706,95.29411764705883,82.3529411764706,76.47058823529412,77.6470588235294,87.05882352941177,81.17647058823529,62.35294117647059,94.11764705882354,80.0,80.0,68.23529411764706,87.05882352941177,81.17647058823529,81.17647058823529,71.76470588235294,77.6470588235294,77.6470588235294,72.94117647058823,70.58823529411765,85.88235294117646,70.58823529411765,67.05882352941177,47.05882352941177,78.82352941176471,75.29411764705883,81.17647058823529,58.8235294117647,95.29411764705883,"2,596"
Solomon Hill,Atlanta Hawks,PF,70,78.88888888888889,85.55555555555556,74.44444444444444,80.0,84.44444444444444,87.77777777777777,61.111111111111114,80.0,80.0,48.888888888888886,66.66666666666667,77.77777777777777,100.0,100.0,90.0,65.55555555555556,82.22222222222223,33.333333333333336,72.22222222222223,56.666666666666664,64.44444444444444,56.666666666666664,60.0,95.55555555555556,61.111111111111114,72.22222222222223,80.0,72.22222222222223,46.666666666666664,35.55555555555556,67.77777777777777,53.333333333333336,86.66666666666667,51.111111111111114,44.44444444444444,84.44444444444444,84.44444444444444,73.33333333333333,66.66666666666667,53.333333333333336,44.44444444444444,61.111111111111114,50.0,78.88888888888889,"2,379"
Jayson Tatum,Boston Celtics,PF,89,90.81632653061224,91.83673469387755,86.73469387755102,87.75510204081633,88.77551020408163,91.83673469387755,100.0,83.6734693877551,80.61224489795919,83.6734693877551,69.38775510204081,83.6734693877551,96.93877551020408,91.83673469387755,81.63265306122449,75.51020408163265,90.81632653061224,51.02040816326531,89.79591836734694,55.10204081632653,69.38775510204081,66.3265306122449,83.6734693877551,96.93877551020408,79.59183673469387,75.51020408163265,87.75510204081633,80.61224489795919,83.6734693877551,71.42857142857143,82.65306122448979,78.57142857142857,90.81632653061224,78.57142857142857,53.06122448979592,88.77551020408163,90.81632653061224,91.83673469387755,86.73469387755102,58.16326530612245,36.734693877551024,79.59183673469387,76.53061224489795,97.95918367346938,"3,025"
Al Horford,Boston Celtics,PF,80,84.21052631578948,95.78947368421052,81.05263157894737,85.26315789473684,82.10526315789474,73.6842105263158,84.21052631578948,77.89473684210526,55.78947368421053,50.526315789473685,95.78947368421052,72.63157894736842,100.0,89.47368421052632,82.10526315789474,76.84210526315789,68.42105263157895,78.94736842105263,68.42105263157895,80.0,88.42105263157895,87.36842105263158,52.63157894736842,88.42105263157895,66.3157894736842,83.15789473684211,52.63157894736842,34.73684210526316,88.42105263157895,73.6842105263158,74.73684210526316,86.3157894736842,71.57894736842105,45.26315789473684,71.57894736842105,70.52631578947368,89.47368421052632,73.6842105263158,89.47368421052632,63.1578947368421,45.26315789473684,81.05263157894737,42.10526315789474,83.15789473684211,"2,701"
Juan Hernangomez,Boston Celtics,PF,75,76.53061224489795,70.40816326530613,69.38775510204081,79.59183673469387,65.3061224489796,100.0,76.53061224489795,72.44897959183673,63.265306122448976,63.265306122448976,61.224489795918366,71.42857142857143,81.63265306122449,81.63265306122449,84.6938775510204,66.3265306122449,73.46938775510205,61.224489795918366,71.42857142857143,71.42857142857143,69.38775510204081,64.28571428571429,42.857142857142854,73.46938775510205,53.06122448979592,56.12244897959184,65.3061224489796,47.95918367346939,63.265306122448976,31.632653061224488,56.12244897959184,65.3061224489796,65.3061224489796,37.755102040816325,42.857142857142854,67.34693877551021,63.265306122448976,47.95918367346939,56.12244897959184,65.3061224489796,52.04081632653061,77.55102040816327,100.0,77.55102040816327,"2,463"
Grant Williams,Boston Celtics,PF,74,71.91011235955057,100.0,78.65168539325843,89.88764044943821,61.79775280898876,67.41573033707866,33.70786516853933,82.02247191011236,65.1685393258427,67.41573033707866,82.02247191011236,74.15730337078652,98.87640449438203,95.50561797752809,89.88764044943821,66.29213483146067,67.41573033707866,56.17977528089887,67.41573033707866,66.29213483146067,65.1685393258427,74.15730337078652,44.943820224719104,91.01123595505618,66.29213483146067,77.52808988764045,74.15730337078652,60.674157303370784,80.89887640449439,38.20224719101124,68.53932584269663,76.40449438202248,65.1685393258427,47.19101123595506,65.1685393258427,78.65168539325843,77.52808988764045,67.41573033707866,73.03370786516854,59.550561797752806,53.93258426966292,64.04494382022472,73.03370786516854,83.14606741573034,"2,397"
