Name,Team,Position,Overall,Outside Scoring,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Athleticism,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Inside Scoring,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Playmaking,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Defending,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Rebounding,Offensive Rebound,Defensive Rebound,Intangibles,Potential,Total Attributes
Trae Young,Atlanta Hawks,PG,89,93.75,98.95833333333333,87.5,89.58333333333333,91.66666666666667,93.75,98.95833333333333,82.29166666666667,87.5,87.5,52.083333333333336,81.25,98.95833333333333,78.125,89.58333333333333,57.291666666666664,93.75,26.041666666666668,31.25,29.166666666666668,62.5,35.416666666666664,100.0,83.33333333333333,92.70833333333333,83.33333333333333,96.875,87.5,97.91666666666667,95.83333333333333,51.041666666666664,32.291666666666664,57.291666666666664,41.666666666666664,38.541666666666664,72.91666666666667,60.416666666666664,72.91666666666667,31.25,44.791666666666664,36.458333333333336,53.125,72.91666666666667,97.91666666666667,"2,617"
Lou Williams,Atlanta Hawks,PG,76,88.63636363636364,87.5,84.0909090909091,93.18181818181819,97.72727272727273,79.54545454545455,90.9090909090909,79.54545454545455,90.9090909090909,90.9090909090909,35.22727272727273,81.81818181818181,96.5909090909091,72.72727272727273,87.5,62.5,100.0,28.40909090909091,51.13636363636363,28.40909090909091,68.18181818181819,34.09090909090909,85.22727272727273,100.0,88.63636363636364,85.22727272727273,98.86363636363636,90.9090909090909,89.77272727272727,80.68181818181819,55.68181818181818,28.40909090909091,68.18181818181819,52.27272727272727,39.77272727272727,84.0909090909091,68.18181818181819,54.54545454545455,51.13636363636363,45.45454545454545,37.5,53.40909090909091,39.77272727272727,92.04545454545455,"2,375"
Delon Wright,Atlanta Hawks,PG,76,83.33333333333333,79.16666666666667,67.70833333333333,83.33333333333333,83.33333333333333,100.0,83.33333333333333,80.20833333333333,76.04166666666667,76.04166666666667,60.416666666666664,71.875,93.75,93.75,87.5,54.166666666666664,85.41666666666667,26.041666666666668,62.5,26.041666666666668,47.916666666666664,28.125,67.70833333333333,88.54166666666667,83.33333333333333,89.58333333333333,89.58333333333333,75.0,88.54166666666667,73.95833333333333,67.70833333333333,34.375,78.125,89.58333333333333,57.291666666666664,78.125,65.625,83.33333333333333,57.291666666666664,54.166666666666664,46.875,60.416666666666664,67.70833333333333,79.16666666666667,"2,595"
Sharife Cooper,Atlanta Hawks,PG,71,78.4090909090909,87.5,82.95454545454545,77.27272727272727,94.31818181818181,73.86363636363636,56.81818181818182,86.36363636363636,100.0,100.0,44.31818181818182,90.9090909090909,90.9090909090909,88.63636363636364,90.9090909090909,53.40909090909091,89.77272727272727,28.40909090909091,45.45454545454545,28.40909090909091,36.36363636363637,28.40909090909091,81.81818181818181,92.04545454545455,93.18181818181819,85.22727272727273,97.72727272727273,100.0,89.77272727272727,92.04545454545455,61.36363636363637,28.40909090909091,79.54545454545455,52.27272727272727,57.95454545454545,86.36363636363636,72.72727272727273,59.09090909090909,56.81818181818182,56.81818181818182,42.04545454545455,70.45454545454545,45.45454545454545,89.77272727272727,"2,389"
Dennis Schroder,Boston Celtics,PG,79,84.94623655913979,80.64516129032258,94.6236559139785,82.79569892473118,90.3225806451613,75.26881720430107,86.02150537634408,84.94623655913979,90.3225806451613,94.6236559139785,49.46236559139785,79.56989247311827,100.0,96.7741935483871,86.02150537634408,52.68817204301075,86.02150537634408,26.881720430107528,48.38709677419355,26.881720430107528,40.86021505376344,29.032258064516128,69.89247311827957,91.39784946236558,89.24731182795699,91.39784946236558,92.47311827956989,90.3225806451613,91.39784946236558,78.49462365591398,63.44086021505376,36.55913978494624,78.49462365591398,52.68817204301075,43.01075268817204,79.56989247311827,77.41935483870968,72.04301075268818,64.51612903225806,45.16129032258065,35.483870967741936,53.763440860215056,75.26881720430107,86.02150537634408,"2,534"
Marcus Smart,Boston Celtics,PG,77,70.52631578947368,93.6842105263158,83.15789473684211,81.05263157894737,84.21052631578948,52.63157894736842,26.31578947368421,87.36842105263158,78.94736842105263,86.3157894736842,76.84210526315789,87.36842105263158,97.89473684210526,94.73684210526316,87.36842105263158,52.63157894736842,68.42105263157895,26.31578947368421,52.63157894736842,26.31578947368421,61.05263157894737,82.10526315789474,28.42105263157895,73.6842105263158,70.52631578947368,65.26315789473684,77.89473684210526,77.89473684210526,57.89473684210526,74.73684210526316,87.36842105263158,77.89473684210526,97.89473684210526,80.0,55.78947368421053,98.94736842105263,94.73684210526316,92.63157894736842,100.0,45.26315789473684,38.94736842105263,50.526315789473685,31.57894736842105,83.15789473684211,"2,570"
Payton Pritchard,Boston Celtics,PG,74,89.47368421052632,88.42105263157895,76.84210526315789,88.42105263157895,95.78947368421052,100.0,84.21052631578948,74.73684210526316,78.94736842105263,78.94736842105263,43.1578947368421,69.47368421052632,88.42105263157895,82.10526315789474,85.26315789473684,52.63157894736842,81.05263157894737,26.31578947368421,36.8421052631579,42.10526315789474,48.421052631578945,36.8421052631579,72.63157894736842,78.94736842105263,78.94736842105263,83.15789473684211,83.15789473684211,78.94736842105263,86.3157894736842,64.21052631578948,51.578947368421055,37.89473684210526,63.1578947368421,44.21052631578947,44.21052631578947,77.89473684210526,63.1578947368421,47.36842105263158,36.8421052631579,48.421052631578945,41.05263157894737,54.73684210526316,94.73684210526316,83.15789473684211,"2,439"
James Harden,Brooklyn Nets,PG,92,93.87755102040816,93.87755102040816,91.83673469387755,87.75510204081633,87.75510204081633,100.0,100.0,90.81632653061224,88.77551020408163,88.77551020408163,72.44897959183673,88.77551020408163,100.0,98.9795918367347,96.93877551020408,80.61224489795919,97.95918367346938,35.714285714285715,85.71428571428571,61.224489795918366,85.71428571428571,76.53061224489795,100.0,100.0,91.83673469387755,79.59183673469387,98.9795918367347,87.75510204081633,100.0,92.85714285714286,66.3265306122449,63.265306122448976,71.42857142857143,46.93877551020408,58.16326530612245,76.53061224489795,64.28571428571429,83.6734693877551,66.3265306122449,58.16326530612245,37.755102040816325,78.57142857142857,76.53061224489795,96.93877551020408,"3,056"
Kyrie Irving,Brooklyn Nets,PG,91,93.93939393939394,97.97979797979798,98.98989898989899,84.84848484848484,93.93939393939394,90.9090909090909,98.98989898989899,79.79797979797979,85.85858585858585,85.85858585858585,37.37373737373738,81.81818181818181,97.97979797979798,87.87878787878788,80.8080808080808,63.63636363636363,95.95959595959596,25.252525252525253,30.303030303030305,35.35353535353536,70.70707070707071,64.64646464646465,89.8989898989899,96.96969696969697,87.87878787878788,88.88888888888889,100.0,85.85858585858585,89.8989898989899,74.74747474747475,64.64646464646465,32.323232323232325,73.73737373737374,56.56565656565657,56.56565656565657,76.76767676767676,75.75757575757575,86.86868686868686,60.60606060606061,47.474747474747474,41.41414141414141,53.535353535353536,65.65656565656566,92.92929292929293,"2,816"
Patty Mills,Brooklyn Nets,PG,78,93.33333333333333,93.33333333333333,94.44444444444444,91.11111111111111,100.0,94.44444444444444,88.88888888888889,82.22222222222223,92.22222222222223,92.22222222222223,56.666666666666664,73.33333333333333,91.11111111111111,77.77777777777777,91.11111111111111,46.666666666666664,84.44444444444444,27.77777777777778,27.77777777777778,27.77777777777778,41.111111111111114,27.77777777777778,55.55555555555556,81.11111111111111,85.55555555555556,87.77777777777777,95.55555555555556,92.22222222222223,93.33333333333333,57.77777777777778,55.55555555555556,30.0,72.22222222222223,44.44444444444444,33.333333333333336,80.0,67.77777777777777,67.77777777777777,44.44444444444444,38.888888888888886,33.333333333333336,44.44444444444444,100.0,85.55555555555556,"2,376"
Jevon Carter,Brooklyn Nets,PG,73,88.23529411764706,75.29411764705883,96.47058823529412,94.11764705882354,95.29411764705883,90.58823529411765,76.47058823529412,88.23529411764706,89.41176470588235,91.76470588235294,70.58823529411765,83.52941176470588,100.0,89.41176470588235,95.29411764705883,51.76470588235294,88.23529411764706,29.41176470588235,41.1764705882353,37.64705882352941,40.0,35.294117647058826,47.05882352941177,94.11764705882354,82.3529411764706,88.23529411764706,92.94117647058823,89.41176470588235,82.3529411764706,58.8235294117647,76.47058823529412,40.0,92.94117647058823,69.41176470588235,60.0,97.6470588235294,84.70588235294117,88.23529411764706,82.3529411764706,54.11764705882353,43.529411764705884,63.529411764705884,100.0,88.23529411764706,"2,451"
LaMelo Ball,Charlotte Hornets,PG,87,84.6938775510204,80.61224489795919,85.71428571428571,82.65306122448979,79.59183673469387,81.63265306122449,96.93877551020408,80.61224489795919,85.71428571428571,85.71428571428571,51.02040816326531,80.61224489795919,92.85714285714286,86.73469387755102,83.6734693877551,69.38775510204081,90.81632653061224,45.91836734693877,66.3265306122449,53.06122448979592,59.183673469387756,53.06122448979592,85.71428571428571,100.0,87.75510204081633,90.81632653061224,87.75510204081633,85.71428571428571,95.91836734693878,79.59183673469387,73.46938775510205,45.91836734693877,79.59183673469387,84.6938775510204,52.04081632653061,84.6938775510204,78.57142857142857,90.81632653061224,71.42857142857143,59.183673469387756,47.95918367346939,70.40816326530613,61.224489795918366,95.91836734693878,"2,872"
Terry Rozier III,Charlotte Hornets,PG,81,93.6842105263158,95.78947368421052,87.36842105263158,88.42105263157895,87.36842105263158,100.0,100.0,85.26315789473684,86.3157894736842,86.3157894736842,65.26315789473684,85.26315789473684,96.84210526315789,91.57894736842105,86.3157894736842,66.3157894736842,86.3157894736842,42.10526315789474,73.6842105263158,47.36842105263158,55.78947368421053,50.526315789473685,77.89473684210526,100.0,85.26315789473684,87.36842105263158,90.52631578947368,86.3157894736842,89.47368421052632,73.6842105263158,64.21052631578948,57.89473684210526,78.94736842105263,55.78947368421053,53.68421052631579,81.05263157894737,62.10526315789474,68.42105263157895,52.63157894736842,47.36842105263158,36.8421052631579,56.8421052631579,100.0,86.3157894736842,"2,763"
Ish Smith,Charlotte Hornets,PG,73,79.3103448275862,97.70114942528735,90.80459770114942,88.50574712643679,63.2183908045977,74.71264367816092,57.47126436781609,85.05747126436782,100.0,100.0,36.7816091954023,80.45977011494253,91.95402298850574,89.65517241379311,95.40229885057471,51.724137931034484,90.80459770114942,28.735632183908045,34.48275862068966,28.735632183908045,36.7816091954023,28.735632183908045,71.26436781609195,93.10344827586206,95.40229885057471,98.85057471264368,98.85057471264368,100.0,97.70114942528735,82.75862068965517,63.2183908045977,28.735632183908045,85.05747126436782,52.87356321839081,58.62068965517241,88.50574712643679,73.5632183908046,59.770114942528735,57.47126436781609,57.47126436781609,42.52873563218391,71.26436781609195,63.2183908045977,83.9080459770115,"2,369"
Lonzo Ball,Chicago Bulls,PG,82,82.79569892473118,81.72043010752688,78.49462365591398,87.09677419354838,84.94623655913979,86.02150537634408,80.64516129032258,83.87096774193549,91.39784946236558,91.39784946236558,55.913978494623656,86.02150537634408,100.0,75.26881720430107,86.02150537634408,59.13978494623656,84.94623655913979,32.25806451612903,80.64516129032258,37.634408602150536,47.31182795698925,43.01075268817204,53.763440860215056,90.3225806451613,90.3225806451613,94.6236559139785,92.47311827956989,91.39784946236558,95.6989247311828,77.41935483870968,83.87096774193549,64.51612903225806,92.47311827956989,84.94623655913979,60.215053763440864,92.47311827956989,91.39784946236558,96.7741935483871,91.39784946236558,52.68817204301075,37.634408602150536,66.66666666666667,75.26881720430107,92.47311827956989,"2,746"
Alex Caruso,Chicago Bulls,PG,79,77.90697674418605,75.5813953488372,69.76744186046511,95.34883720930233,76.74418604651163,81.3953488372093,69.76744186046511,86.04651162790698,95.34883720930233,95.34883720930233,36.04651162790697,83.72093023255815,98.83720930232558,98.83720930232558,94.18604651162791,60.46511627906977,90.69767441860465,40.69767441860465,87.20930232558139,34.883720930232556,50.0,33.72093023255814,63.95348837209303,79.06976744186046,88.37209302325581,90.69767441860465,90.69767441860465,95.34883720930233,89.53488372093024,76.74418604651163,86.04651162790698,36.04651162790697,100.0,93.02325581395348,59.30232558139535,98.83720930232558,98.83720930232558,100.0,98.83720930232558,55.81395348837209,45.348837209302324,66.27906976744185,58.13953488372093,88.37209302325581,"2,526"
Coby White,Chicago Bulls,PG,78,85.71428571428571,83.51648351648352,93.4065934065934,85.71428571428571,100.0,93.4065934065934,60.43956043956044,87.91208791208791,93.4065934065934,93.4065934065934,61.53846153846154,89.01098901098901,98.9010989010989,93.4065934065934,87.91208791208791,61.53846153846154,84.61538461538461,32.967032967032964,71.42857142857143,37.362637362637365,49.45054945054945,53.84615384615385,71.42857142857143,87.91208791208791,86.81318681318682,84.61538461538461,94.50549450549451,92.3076923076923,84.61538461538461,76.92307692307692,60.43956043956044,53.84615384615385,70.32967032967034,39.56043956043956,43.956043956043956,84.61538461538461,72.52747252747253,70.32967032967034,49.45054945054945,49.45054945054945,35.16483516483517,63.73626373626374,93.4065934065934,87.91208791208791,"2,567"
