Name,Team,Position,Overall,Outside Scoring,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Athleticism,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Inside Scoring,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Playmaking,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Defending,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Rebounding,Offensive Rebound,Defensive Rebound,Intangibles,Potential,Total Attributes
Bogdan Bogdanovic,Atlanta Hawks,SF,79,94.73684210526316,91.57894736842105,95.78947368421052,89.47368421052632,93.6842105263158,94.73684210526316,100.0,78.94736842105263,78.94736842105263,78.94736842105263,66.3157894736842,82.10526315789474,93.6842105263158,70.52631578947368,81.05263157894737,68.42105263157895,82.10526315789474,52.63157894736842,68.42105263157895,65.26315789473684,60.0,60.0,65.26315789473684,89.47368421052632,77.89473684210526,77.89473684210526,83.15789473684211,76.84210526315789,83.15789473684211,69.47368421052632,60.0,53.68421052631579,66.3157894736842,55.78947368421053,49.473684210526315,78.94736842105263,63.1578947368421,63.1578947368421,52.63157894736842,45.26315789473684,34.73684210526316,55.78947368421053,78.94736842105263,85.26315789473684,"2,649"
De’Andre Hunter,Atlanta Hawks,SF,79,93.33333333333333,94.44444444444444,94.44444444444444,86.66666666666667,97.77777777777777,93.33333333333333,94.44444444444444,86.66666666666667,84.44444444444444,86.66666666666667,72.22222222222223,83.33333333333333,100.0,88.88888888888889,88.88888888888889,71.11111111111111,75.55555555555556,72.22222222222223,77.77777777777777,56.666666666666664,57.77777777777778,56.666666666666664,72.22222222222223,100.0,68.88888888888889,74.44444444444444,77.77777777777777,76.66666666666667,71.11111111111111,43.333333333333336,78.88888888888889,70.0,90.0,77.77777777777777,62.22222222222222,92.22222222222223,86.66666666666667,66.66666666666667,83.33333333333333,55.55555555555556,42.22222222222222,68.88888888888889,88.88888888888889,88.88888888888889,"2,696"
Cameron Reddish,Atlanta Hawks,SF,79,67.77777777777777,68.88888888888889,84.44444444444444,80.0,91.11111111111111,44.44444444444444,38.888888888888886,85.55555555555556,94.44444444444444,94.44444444444444,57.77777777777778,93.33333333333333,100.0,72.22222222222223,88.88888888888889,66.66666666666667,81.11111111111111,55.55555555555556,88.88888888888889,47.77777777777778,57.77777777777778,52.22222222222222,57.77777777777778,94.44444444444444,73.33333333333333,75.55555555555556,90.0,87.77777777777777,76.66666666666667,35.55555555555556,78.88888888888889,61.111111111111114,90.0,73.33333333333333,56.666666666666664,90.0,88.88888888888889,88.88888888888889,83.33333333333333,53.333333333333336,45.55555555555556,60.0,83.33333333333333,88.88888888888889,"2,538"
Danilo Gallinari,Atlanta Hawks,SF,79,84.0,84.0,79.0,84.0,93.0,80.0,85.0,70.0,60.0,60.0,66.0,66.0,85.0,80.0,75.0,71.0,76.0,45.0,75.0,66.0,72.0,74.0,80.0,76.0,62.0,72.0,76.0,60.0,65.0,37.0,59.0,69.0,56.0,40.0,42.0,68.0,70.0,62.0,65.0,51.0,33.0,68.0,100.0,79.0,"3,168"
Kevin Huerter,Atlanta Hawks,SF,76,90.0,97.77777777777777,100.0,91.11111111111111,87.77777777777777,77.77777777777777,83.33333333333333,84.44444444444444,93.33333333333333,86.66666666666667,55.55555555555556,83.33333333333333,94.44444444444444,83.33333333333333,92.22222222222223,56.666666666666664,81.11111111111111,33.333333333333336,72.22222222222223,27.77777777777778,64.44444444444444,38.888888888888886,50.0,88.88888888888889,80.0,82.22222222222223,84.44444444444444,80.0,84.44444444444444,70.0,61.111111111111114,48.888888888888886,71.11111111111111,62.22222222222222,46.666666666666664,80.0,70.0,71.11111111111111,38.888888888888886,46.666666666666664,38.888888888888886,54.44444444444444,100.0,88.88888888888889,"2,480"
Jalen Johnson,Atlanta Hawks,SF,73,80.0,87.05882352941177,87.05882352941177,81.17647058823529,74.11764705882354,82.3529411764706,64.70588235294117,91.76470588235294,89.41176470588235,89.41176470588235,80.0,96.47058823529412,100.0,94.11764705882354,94.11764705882354,82.3529411764706,95.29411764705883,82.3529411764706,76.47058823529412,77.6470588235294,87.05882352941177,81.17647058823529,62.35294117647059,94.11764705882354,80.0,80.0,68.23529411764706,87.05882352941177,81.17647058823529,81.17647058823529,71.76470588235294,77.6470588235294,77.6470588235294,72.94117647058823,70.58823529411765,85.88235294117646,70.58823529411765,67.05882352941177,47.05882352941177,78.82352941176471,75.29411764705883,81.17647058823529,58.8235294117647,95.29411764705883,"2,596"
Timothe Luwawu-Cabarrot,Atlanta Hawks,SF,72,75.29411764705883,62.35294117647059,76.47058823529412,87.05882352941177,95.29411764705883,76.47058823529412,52.94117647058823,88.23529411764706,92.94117647058823,92.94117647058823,49.411764705882355,98.82352941176471,100.0,91.76470588235294,95.29411764705883,67.05882352941177,91.76470588235294,47.05882352941177,88.23529411764706,41.1764705882353,60.0,44.705882352941174,64.70588235294117,96.47058823529412,77.6470588235294,88.23529411764706,87.05882352941177,85.88235294117646,87.05882352941177,41.1764705882353,68.23529411764706,64.70588235294117,88.23529411764706,50.588235294117645,43.529411764705884,89.41176470588235,90.58823529411765,63.529411764705884,52.94117647058823,52.94117647058823,47.05882352941177,58.8235294117647,47.05882352941177,89.41176470588235,"2,364"
Skylar Mays,Atlanta Hawks,SF,71,84.78260869565217,91.30434782608695,91.30434782608695,81.52173913043478,95.65217391304348,78.26086956521739,70.65217391304348,76.08695652173913,76.08695652173913,76.08695652173913,45.65217391304348,80.43478260869566,100.0,70.65217391304348,86.95652173913044,56.52173913043478,76.08695652173913,38.04347826086956,48.91304347826087,40.21739130434783,56.52173913043478,40.21739130434783,61.95652173913044,86.95652173913044,73.91304347826087,72.82608695652173,80.43478260869566,72.82608695652173,75.0,68.47826086956522,65.21739130434783,45.65217391304348,73.91304347826087,76.08695652173913,45.65217391304348,81.52173913043478,75.0,65.21739130434783,54.34782608695652,52.17391304347826,50.0,54.34782608695652,59.78260869565217,81.52173913043478,"2,416"
Solomon Hill,Atlanta Hawks,SF,70,78.88888888888889,85.55555555555556,74.44444444444444,80.0,84.44444444444444,87.77777777777777,61.111111111111114,80.0,80.0,48.888888888888886,66.66666666666667,77.77777777777777,100.0,100.0,90.0,65.55555555555556,82.22222222222223,33.333333333333336,72.22222222222223,56.666666666666664,64.44444444444444,56.666666666666664,60.0,95.55555555555556,61.111111111111114,72.22222222222223,80.0,72.22222222222223,46.666666666666664,35.55555555555556,67.77777777777777,53.333333333333336,86.66666666666667,51.111111111111114,44.44444444444444,84.44444444444444,84.44444444444444,73.33333333333333,66.66666666666667,53.333333333333336,44.44444444444444,61.111111111111114,50.0,78.88888888888889,"2,379"
Jayson Tatum,Boston Celtics,SF,89,90.81632653061224,91.83673469387755,86.73469387755102,87.75510204081633,88.77551020408163,91.83673469387755,100.0,83.6734693877551,80.61224489795919,83.6734693877551,69.38775510204081,83.6734693877551,96.93877551020408,91.83673469387755,81.63265306122449,75.51020408163265,90.81632653061224,51.02040816326531,89.79591836734694,55.10204081632653,69.38775510204081,66.3265306122449,83.6734693877551,96.93877551020408,79.59183673469387,75.51020408163265,87.75510204081633,80.61224489795919,83.6734693877551,71.42857142857143,82.65306122448979,78.57142857142857,90.81632653061224,78.57142857142857,53.06122448979592,88.77551020408163,90.81632653061224,91.83673469387755,86.73469387755102,58.16326530612245,36.734693877551024,79.59183673469387,76.53061224489795,97.95918367346938,"3,025"
Jaylen Brown,Boston Celtics,SF,87,90.52631578947368,93.6842105263158,97.89473684210526,88.42105263157895,80.0,84.21052631578948,100.0,87.36842105263158,81.05263157894737,81.05263157894737,72.63157894736842,88.42105263157895,100.0,100.0,86.3157894736842,76.84210526315789,94.73684210526316,42.10526315789474,93.6842105263158,54.73684210526316,62.10526315789474,84.21052631578948,86.3157894736842,96.84210526315789,78.94736842105263,78.94736842105263,85.26315789473684,80.0,86.3157894736842,66.3157894736842,83.15789473684211,73.6842105263158,91.57894736842105,81.05263157894737,57.89473684210526,93.6842105263158,90.52631578947368,87.36842105263158,89.47368421052632,57.89473684210526,46.31578947368421,68.42105263157895,42.10526315789474,94.73684210526316,"2,928"
Juan Hernangomez,Boston Celtics,SF,75,76.53061224489795,70.40816326530613,69.38775510204081,79.59183673469387,65.3061224489796,100.0,76.53061224489795,72.44897959183673,63.265306122448976,63.265306122448976,61.224489795918366,71.42857142857143,81.63265306122449,81.63265306122449,84.6938775510204,66.3265306122449,73.46938775510205,61.224489795918366,71.42857142857143,71.42857142857143,69.38775510204081,64.28571428571429,42.857142857142854,73.46938775510205,53.06122448979592,56.12244897959184,65.3061224489796,47.95918367346939,63.265306122448976,31.632653061224488,56.12244897959184,65.3061224489796,65.3061224489796,37.755102040816325,42.857142857142854,67.34693877551021,63.265306122448976,47.95918367346939,56.12244897959184,65.3061224489796,52.04081632653061,77.55102040816327,100.0,77.55102040816327,"2,463"
Josh Richardson,Boston Celtics,SF,74,78.94736842105263,88.42105263157895,90.52631578947368,80.0,95.78947368421052,63.1578947368421,57.89473684210526,82.10526315789474,84.21052631578948,84.21052631578948,60.0,75.78947368421052,100.0,84.21052631578948,87.36842105263158,56.8421052631579,78.94736842105263,52.63157894736842,82.10526315789474,31.57894736842105,50.526315789473685,33.68421052631579,42.10526315789474,84.21052631578948,71.57894736842105,72.63157894736842,82.10526315789474,83.15789473684211,71.57894736842105,47.36842105263158,77.89473684210526,72.63157894736842,91.57894736842105,51.578947368421055,53.68421052631579,89.47368421052632,86.3157894736842,86.3157894736842,89.47368421052632,46.31578947368421,43.1578947368421,49.473684210526315,73.6842105263158,81.05263157894737,"2,596"
Aaron Nesmith,Boston Celtics,SF,72,74.73684210526316,71.57894736842105,73.6842105263158,81.05263157894737,73.6842105263158,84.21052631578948,63.1578947368421,71.57894736842105,64.21052631578948,65.26315789473684,54.73684210526316,70.52631578947368,91.57894736842105,68.42105263157895,85.26315789473684,55.78947368421053,72.63157894736842,36.8421052631579,57.89473684210526,43.1578947368421,55.78947368421053,41.05263157894737,56.8421052631579,80.0,62.10526315789474,72.63157894736842,73.6842105263158,63.1578947368421,68.42105263157895,30.526315789473685,54.73684210526316,36.8421052631579,68.42105263157895,40.0,54.73684210526316,69.47368421052632,75.78947368421052,54.73684210526316,36.8421052631579,60.0,49.473684210526315,70.52631578947368,100.0,83.15789473684211,"2,318"
Romeo Langford,Boston Celtics,SF,69,67.3913043478261,77.17391304347827,78.26086956521739,81.52173913043478,78.26086956521739,48.91304347826087,38.04347826086956,82.6086956521739,88.04347826086956,88.04347826086956,45.65217391304348,88.04347826086956,100.0,81.52173913043478,86.95652173913044,59.78260869565217,79.34782608695652,38.04347826086956,70.65217391304348,38.04347826086956,63.04347826086956,40.21739130434783,58.69565217391305,86.95652173913044,70.65217391304348,76.08695652173913,85.8695652173913,84.78260869565217,75.0,33.69565217391305,58.69565217391305,45.65217391304348,70.65217391304348,40.21739130434783,60.869565217391305,82.6086956521739,75.0,54.34782608695652,38.04347826086956,52.17391304347826,52.17391304347826,51.08695652173913,86.95652173913044,81.52173913043478,"2,346"
