Name,Team,Position,Overall,Outside Scoring,Close Shot,Mid-Range Shot,Three-Point Shot,Free Throw,Shot IQ,Offensive Consistency,Athleticism,Speed,Acceleration,Strength,Vertical,Stamina,Hustle,Overall Durability,Inside Scoring,Layup,Standing Dunk,Driving Dunk,Post Hook,Post Fade,Post Control,Draw Foul,Hands,Playmaking,Pass Accuracy,Ball Handle,Speed with Ball,Pass IQ,Pass Vision,Defending,Interior Defense,Perimeter Defense,Steal,Block,Lateral Quickness,Help Defense IQ,Pass Perception,Defensive Consistency,Rebounding,Offensive Rebound,Defensive Rebound,Intangibles,Potential,Total Attributes
Bogdan Bogdanovic,Atlanta Hawks,SG,79,94.73684210526316,91.57894736842105,95.78947368421052,89.47368421052632,93.6842105263158,94.73684210526316,100.0,78.94736842105263,78.94736842105263,78.94736842105263,66.3157894736842,82.10526315789474,93.6842105263158,70.52631578947368,81.05263157894737,68.42105263157895,82.10526315789474,52.63157894736842,68.42105263157895,65.26315789473684,60.0,60.0,65.26315789473684,89.47368421052632,77.89473684210526,77.89473684210526,83.15789473684211,76.84210526315789,83.15789473684211,69.47368421052632,60.0,53.68421052631579,66.3157894736842,55.78947368421053,49.473684210526315,78.94736842105263,63.1578947368421,63.1578947368421,52.63157894736842,45.26315789473684,34.73684210526316,55.78947368421053,78.94736842105263,85.26315789473684,"2,649"
Cameron Reddish,Atlanta Hawks,SG,79,67.77777777777777,68.88888888888889,84.44444444444444,80.0,91.11111111111111,44.44444444444444,38.888888888888886,85.55555555555556,94.44444444444444,94.44444444444444,57.77777777777778,93.33333333333333,100.0,72.22222222222223,88.88888888888889,66.66666666666667,81.11111111111111,55.55555555555556,88.88888888888889,47.77777777777778,57.77777777777778,52.22222222222222,57.77777777777778,94.44444444444444,73.33333333333333,75.55555555555556,90.0,87.77777777777777,76.66666666666667,35.55555555555556,78.88888888888889,61.111111111111114,90.0,73.33333333333333,56.666666666666664,90.0,88.88888888888889,88.88888888888889,83.33333333333333,53.333333333333336,45.55555555555556,60.0,83.33333333333333,88.88888888888889,"2,538"
Lou Williams,Atlanta Hawks,SG,76,88.63636363636364,87.5,84.0909090909091,93.18181818181819,97.72727272727273,79.54545454545455,90.9090909090909,79.54545454545455,90.9090909090909,90.9090909090909,35.22727272727273,81.81818181818181,96.5909090909091,72.72727272727273,87.5,62.5,100.0,28.40909090909091,51.13636363636363,28.40909090909091,68.18181818181819,34.09090909090909,85.22727272727273,100.0,88.63636363636364,85.22727272727273,98.86363636363636,90.9090909090909,89.77272727272727,80.68181818181819,55.68181818181818,28.40909090909091,68.18181818181819,52.27272727272727,39.77272727272727,84.0909090909091,68.18181818181819,54.54545454545455,51.13636363636363,45.45454545454545,37.5,53.40909090909091,39.77272727272727,92.04545454545455,"2,375"
Kevin Huerter,Atlanta Hawks,SG,76,90.0,97.77777777777777,100.0,91.11111111111111,87.77777777777777,77.77777777777777,83.33333333333333,84.44444444444444,93.33333333333333,86.66666666666667,55.55555555555556,83.33333333333333,94.44444444444444,83.33333333333333,92.22222222222223,56.666666666666664,81.11111111111111,33.333333333333336,72.22222222222223,27.77777777777778,64.44444444444444,38.888888888888886,50.0,88.88888888888889,80.0,82.22222222222223,84.44444444444444,80.0,84.44444444444444,70.0,61.111111111111114,48.888888888888886,71.11111111111111,62.22222222222222,46.666666666666664,80.0,70.0,71.11111111111111,38.888888888888886,46.666666666666664,38.888888888888886,54.44444444444444,100.0,88.88888888888889,"2,480"
Delon Wright,Atlanta Hawks,SG,76,83.33333333333333,79.16666666666667,67.70833333333333,83.33333333333333,83.33333333333333,100.0,83.33333333333333,80.20833333333333,76.04166666666667,76.04166666666667,60.416666666666664,71.875,93.75,93.75,87.5,54.166666666666664,85.41666666666667,26.041666666666668,62.5,26.041666666666668,47.916666666666664,28.125,67.70833333333333,88.54166666666667,83.33333333333333,89.58333333333333,89.58333333333333,75.0,88.54166666666667,73.95833333333333,67.70833333333333,34.375,78.125,89.58333333333333,57.291666666666664,78.125,65.625,83.33333333333333,57.291666666666664,54.166666666666664,46.875,60.416666666666664,67.70833333333333,79.16666666666667,"2,595"
Timothe Luwawu-Cabarrot,Atlanta Hawks,SG,72,75.29411764705883,62.35294117647059,76.47058823529412,87.05882352941177,95.29411764705883,76.47058823529412,52.94117647058823,88.23529411764706,92.94117647058823,92.94117647058823,49.411764705882355,98.82352941176471,100.0,91.76470588235294,95.29411764705883,67.05882352941177,91.76470588235294,47.05882352941177,88.23529411764706,41.1764705882353,60.0,44.705882352941174,64.70588235294117,96.47058823529412,77.6470588235294,88.23529411764706,87.05882352941177,85.88235294117646,87.05882352941177,41.1764705882353,68.23529411764706,64.70588235294117,88.23529411764706,50.588235294117645,43.529411764705884,89.41176470588235,90.58823529411765,63.529411764705884,52.94117647058823,52.94117647058823,47.05882352941177,58.8235294117647,47.05882352941177,89.41176470588235,"2,364"
Skylar Mays,Atlanta Hawks,SG,71,84.78260869565217,91.30434782608695,91.30434782608695,81.52173913043478,95.65217391304348,78.26086956521739,70.65217391304348,76.08695652173913,76.08695652173913,76.08695652173913,45.65217391304348,80.43478260869566,100.0,70.65217391304348,86.95652173913044,56.52173913043478,76.08695652173913,38.04347826086956,48.91304347826087,40.21739130434783,56.52173913043478,40.21739130434783,61.95652173913044,86.95652173913044,73.91304347826087,72.82608695652173,80.43478260869566,72.82608695652173,75.0,68.47826086956522,65.21739130434783,45.65217391304348,73.91304347826087,76.08695652173913,45.65217391304348,81.52173913043478,75.0,65.21739130434783,54.34782608695652,52.17391304347826,50.0,54.34782608695652,59.78260869565217,81.52173913043478,"2,416"
Jaylen Brown,Boston Celtics,SG,87,90.52631578947368,93.6842105263158,97.89473684210526,88.42105263157895,80.0,84.21052631578948,100.0,87.36842105263158,81.05263157894737,81.05263157894737,72.63157894736842,88.42105263157895,100.0,100.0,86.3157894736842,76.84210526315789,94.73684210526316,42.10526315789474,93.6842105263158,54.73684210526316,62.10526315789474,84.21052631578948,86.3157894736842,96.84210526315789,78.94736842105263,78.94736842105263,85.26315789473684,80.0,86.3157894736842,66.3157894736842,83.15789473684211,73.6842105263158,91.57894736842105,81.05263157894737,57.89473684210526,93.6842105263158,90.52631578947368,87.36842105263158,89.47368421052632,57.89473684210526,46.31578947368421,68.42105263157895,42.10526315789474,94.73684210526316,"2,928"
Dennis Schroder,Boston Celtics,SG,79,84.94623655913979,80.64516129032258,94.6236559139785,82.79569892473118,90.3225806451613,75.26881720430107,86.02150537634408,84.94623655913979,90.3225806451613,94.6236559139785,49.46236559139785,79.56989247311827,100.0,96.7741935483871,86.02150537634408,52.68817204301075,86.02150537634408,26.881720430107528,48.38709677419355,26.881720430107528,40.86021505376344,29.032258064516128,69.89247311827957,91.39784946236558,89.24731182795699,91.39784946236558,92.47311827956989,90.3225806451613,91.39784946236558,78.49462365591398,63.44086021505376,36.55913978494624,78.49462365591398,52.68817204301075,43.01075268817204,79.56989247311827,77.41935483870968,72.04301075268818,64.51612903225806,45.16129032258065,35.483870967741936,53.763440860215056,75.26881720430107,86.02150537634408,"2,534"
Marcus Smart,Boston Celtics,SG,77,70.52631578947368,93.6842105263158,83.15789473684211,81.05263157894737,84.21052631578948,52.63157894736842,26.31578947368421,87.36842105263158,78.94736842105263,86.3157894736842,76.84210526315789,87.36842105263158,97.89473684210526,94.73684210526316,87.36842105263158,52.63157894736842,68.42105263157895,26.31578947368421,52.63157894736842,26.31578947368421,61.05263157894737,82.10526315789474,28.42105263157895,73.6842105263158,70.52631578947368,65.26315789473684,77.89473684210526,77.89473684210526,57.89473684210526,74.73684210526316,87.36842105263158,77.89473684210526,97.89473684210526,80.0,55.78947368421053,98.94736842105263,94.73684210526316,92.63157894736842,100.0,45.26315789473684,38.94736842105263,50.526315789473685,31.57894736842105,83.15789473684211,"2,570"
Payton Pritchard,Boston Celtics,SG,74,89.47368421052632,88.42105263157895,76.84210526315789,88.42105263157895,95.78947368421052,100.0,84.21052631578948,74.73684210526316,78.94736842105263,78.94736842105263,43.1578947368421,69.47368421052632,88.42105263157895,82.10526315789474,85.26315789473684,52.63157894736842,81.05263157894737,26.31578947368421,36.8421052631579,42.10526315789474,48.421052631578945,36.8421052631579,72.63157894736842,78.94736842105263,78.94736842105263,83.15789473684211,83.15789473684211,78.94736842105263,86.3157894736842,64.21052631578948,51.578947368421055,37.89473684210526,63.1578947368421,44.21052631578947,44.21052631578947,77.89473684210526,63.1578947368421,47.36842105263158,36.8421052631579,48.421052631578945,41.05263157894737,54.73684210526316,94.73684210526316,83.15789473684211,"2,439"
Josh Richardson,Boston Celtics,SG,74,78.94736842105263,88.42105263157895,90.52631578947368,80.0,95.78947368421052,63.1578947368421,57.89473684210526,82.10526315789474,84.21052631578948,84.21052631578948,60.0,75.78947368421052,100.0,84.21052631578948,87.36842105263158,56.8421052631579,78.94736842105263,52.63157894736842,82.10526315789474,31.57894736842105,50.526315789473685,33.68421052631579,42.10526315789474,84.21052631578948,71.57894736842105,72.63157894736842,82.10526315789474,83.15789473684211,71.57894736842105,47.36842105263158,77.89473684210526,72.63157894736842,91.57894736842105,51.578947368421055,53.68421052631579,89.47368421052632,86.3157894736842,86.3157894736842,89.47368421052632,46.31578947368421,43.1578947368421,49.473684210526315,73.6842105263158,81.05263157894737,"2,596"
Aaron Nesmith,Boston Celtics,SG,72,74.73684210526316,71.57894736842105,73.6842105263158,81.05263157894737,73.6842105263158,84.21052631578948,63.1578947368421,71.57894736842105,64.21052631578948,65.26315789473684,54.73684210526316,70.52631578947368,91.57894736842105,68.42105263157895,85.26315789473684,55.78947368421053,72.63157894736842,36.8421052631579,57.89473684210526,43.1578947368421,55.78947368421053,41.05263157894737,56.8421052631579,80.0,62.10526315789474,72.63157894736842,73.6842105263158,63.1578947368421,68.42105263157895,30.526315789473685,54.73684210526316,36.8421052631579,68.42105263157895,40.0,54.73684210526316,69.47368421052632,75.78947368421052,54.73684210526316,36.8421052631579,60.0,49.473684210526315,70.52631578947368,100.0,83.15789473684211,"2,318"
Romeo Langford,Boston Celtics,SG,69,67.3913043478261,77.17391304347827,78.26086956521739,81.52173913043478,78.26086956521739,48.91304347826087,38.04347826086956,82.6086956521739,88.04347826086956,88.04347826086956,45.65217391304348,88.04347826086956,100.0,81.52173913043478,86.95652173913044,59.78260869565217,79.34782608695652,38.04347826086956,70.65217391304348,38.04347826086956,63.04347826086956,40.21739130434783,58.69565217391305,86.95652173913044,70.65217391304348,76.08695652173913,85.8695652173913,84.78260869565217,75.0,33.69565217391305,58.69565217391305,45.65217391304348,70.65217391304348,40.21739130434783,60.869565217391305,82.6086956521739,75.0,54.34782608695652,38.04347826086956,52.17391304347826,52.17391304347826,51.08695652173913,86.95652173913044,81.52173913043478,"2,346"
Brodric Thomas,Boston Celtics,SG,69,76.47058823529412,81.17647058823529,85.88235294117646,82.3529411764706,82.3529411764706,70.58823529411765,58.8235294117647,83.52941176470588,82.3529411764706,82.3529411764706,51.76470588235294,95.29411764705883,94.11764705882354,84.70588235294117,94.11764705882354,63.529411764705884,81.17647058823529,52.94117647058823,88.23529411764706,40.0,49.411764705882355,52.94117647058823,47.05882352941177,100.0,69.41176470588235,67.05882352941177,81.17647058823529,74.11764705882354,70.58823529411765,51.76470588235294,70.58823529411765,63.529411764705884,82.3529411764706,62.35294117647059,80.0,90.58823529411765,80.0,63.529411764705884,41.1764705882353,51.76470588235294,43.529411764705884,60.0,88.23529411764706,83.52941176470588,"2,330"
James Harden,Brooklyn Nets,SG,92,93.87755102040816,93.87755102040816,91.83673469387755,87.75510204081633,87.75510204081633,100.0,100.0,90.81632653061224,88.77551020408163,88.77551020408163,72.44897959183673,88.77551020408163,100.0,98.9795918367347,96.93877551020408,80.61224489795919,97.95918367346938,35.714285714285715,85.71428571428571,61.224489795918366,85.71428571428571,76.53061224489795,100.0,100.0,91.83673469387755,79.59183673469387,98.9795918367347,87.75510204081633,100.0,92.85714285714286,66.3265306122449,63.265306122448976,71.42857142857143,46.93877551020408,58.16326530612245,76.53061224489795,64.28571428571429,83.6734693877551,66.3265306122449,58.16326530612245,37.755102040816325,78.57142857142857,76.53061224489795,96.93877551020408,"3,056"
Kyrie Irving,Brooklyn Nets,SG,91,93.93939393939394,97.97979797979798,98.98989898989899,84.84848484848484,93.93939393939394,90.9090909090909,98.98989898989899,79.79797979797979,85.85858585858585,85.85858585858585,37.37373737373738,81.81818181818181,97.97979797979798,87.87878787878788,80.8080808080808,63.63636363636363,95.95959595959596,25.252525252525253,30.303030303030305,35.35353535353536,70.70707070707071,64.64646464646465,89.8989898989899,96.96969696969697,87.87878787878788,88.88888888888889,100.0,85.85858585858585,89.8989898989899,74.74747474747475,64.64646464646465,32.323232323232325,73.73737373737374,56.56565656565657,56.56565656565657,76.76767676767676,75.75757575757575,86.86868686868686,60.60606060606061,47.474747474747474,41.41414141414141,53.535353535353536,65.65656565656566,92.92929292929293,"2,816"
Bruce Brown Jr.,Brooklyn Nets,SG,77,78.94736842105263,91.57894736842105,80.0,68.42105263157895,77.89473684210526,78.94736842105263,78.94736842105263,85.26315789473684,80.0,82.10526315789474,78.94736842105263,84.21052631578948,96.84210526315789,84.21052631578948,88.42105263157895,58.94736842105263,84.21052631578948,31.57894736842105,73.6842105263158,29.473684210526315,35.78947368421053,44.21052631578947,68.42105263157895,100.0,72.63157894736842,83.15789473684211,81.05263157894737,77.89473684210526,78.94736842105263,41.05263157894737,71.57894736842105,61.05263157894737,81.05263157894737,58.94736842105263,58.94736842105263,81.05263157894737,83.15789473684211,78.94736842105263,68.42105263157895,71.57894736842105,70.52631578947368,71.57894736842105,100.0,82.10526315789474,"2,656"
Joe Harris,Brooklyn Nets,SG,76,91.57894736842105,95.78947368421052,84.21052631578948,94.73684210526316,81.05263157894737,100.0,94.73684210526316,75.78947368421052,72.63157894736842,72.63157894736842,42.10526315789474,70.52631578947368,94.73684210526316,89.47368421052632,87.36842105263158,51.578947368421055,69.47368421052632,26.31578947368421,47.36842105263158,31.57894736842105,50.526315789473685,33.68421052631579,57.89473684210526,92.63157894736842,67.36842105263158,75.78947368421052,76.84210526315789,70.52631578947368,77.89473684210526,37.89473684210526,55.78947368421053,35.78947368421053,69.47368421052632,38.94736842105263,42.10526315789474,72.63157894736842,61.05263157894737,66.3157894736842,57.89473684210526,45.26315789473684,37.89473684210526,52.63157894736842,100.0,83.15789473684211,"2,419"
